ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio_in_term
IPR007750	Protein of unknown function DUF674	5/5009	7/35927	0.000863290727396955	0.114189818942052	0.114189818942052	og27948/og28659/og28660/og28756/og29785	5	5/7
IPR000484	Photosynthetic reaction centre, L/M	6/5009	11/35927	0.00179941722364309	0.218179338366724	0.218179338366724	og29359/og29505/og30878/og31250/og32935/og33288	6	6/11
IPR011051	RmlC-like cupin domain superfamily	25/5009	99/35927	0.00195703145399814	0.219036981966715	0.219036981966715	og23772/og24073/og24216/og24668/og24683/og24720/og24736/og25139/og25923/og28540/og28678/og28854/og29495/og29520/og29521/og29523/og29524/og30568/og30613/og30748/og30813/og32662/og32663/og32931/og34995	25	25/99
IPR000235	Small ribosomal subunit protein uS7	6/5009	12/35927	0.0031755212117969	0.330027383083177	0.330027383083177	og26722/og28546/og29500/og30391/og33286/og33289	6	6/12
IPR003359	Photosystem I Ycf4, assembly	4/5009	6/35927	0.0044730170445704	0.433882653323329	0.433882653323329	og25392/og26663/og30336/og30868	4	4/6
IPR001077	O-methyltransferase domain	10/5009	31/35927	0.0074283500615964	0.613791851699121	0.613791851699121	og22872/og23063/og24082/og24146/og24798/og25630/og25729/og26464/og28411/og28790	10	10/31
IPR016461	O-methyltransferase COMT-type	10/5009	31/35927	0.0074283500615964	0.613791851699121	0.613791851699121	og22872/og23063/og24082/og24146/og24798/og25630/og25729/og26464/og28411/og28790	10	10/31
IPR008502	Prolamin-like domain	6/5009	14/35927	0.00804574412513831	0.613791851699121	0.613791851699121	og24458/og28717/og29674/og31137/og32930/og33002	6	6/14
IPR022885	NAD(P)H-quinone oxidoreductase subunit D/H	6/5009	14/35927	0.00804574412513831	0.613791851699121	0.613791851699121	og24999/og27199/og29509/og32509/og32514/og32927	6	6/14
IPR019645	Uncharacterised protein family Ycf15	4/5009	7/35927	0.00928598546746832	0.613791851699121	0.613791851699121	og29155/og30487/og30838/og33280	4	4/7
IPR044900	Photosystem II CP43 reaction centre protein superfamily	4/5009	7/35927	0.00928598546746832	0.613791851699121	0.613791851699121	og29505/og31078/og33048/og33145	4	4/7
IPR011332	Zinc-binding ribosomal protein	10/5009	32/35927	0.00947965617211936	0.613791851699121	0.613791851699121	og23034/og26448/og26620/og26828/og27877/og29493/og29605/og30839/og33206/og33548	10	10/32
IPR044684	Rhodanese-like domain-containing protein STR17/STR18/HARC1-like	3/5009	4/35927	0.00970255160761498	0.613791851699121	0.613791851699121	og23769/og30663/og33656	3	3/4
IPR001135	NADH-quinone oxidoreductase, subunit D	7/5009	19/35927	0.0110478864016091	0.669778113097551	0.669778113097551	og24999/og26135/og27199/og29509/og32509/og32514/og32927	7	7/19
IPR021940	Very-long-chain aldehyde decarbonylase CER1-like, C-terminal	4/5009	8/35927	0.0165350836826495	0.806995900437985	0.806995900437985	og23219/og23220/og23783/og27926	4	4/8
IPR045874	Rust resistance kinase Lr10/LRL2.1-2.5-like	4/5009	8/35927	0.0165350836826495	0.806995900437985	0.806995900437985	og25990/og26834/og30814/og30923	4	4/8
IPR006032	Small ribosomal subunit protein uS12	6/5009	16/35927	0.0167564253224031	0.806995900437985	0.806995900437985	og23044/og24667/og26055/og29487/og30340/og32696	6	6/16
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	8/5009	25/35927	0.0168836092974374	0.806995900437985	0.806995900437985	og24327/og28541/og29259/og32917/og33042/og33190/og33290/og33308	8	8/25
IPR002155	Thiolase	5/5009	12/35927	0.0177483634460588	0.806995900437985	0.806995900437985	og24102/og24103/og24104/og24223/og25549	5	5/12
IPR020616	Thiolase, N-terminal	5/5009	12/35927	0.0177483634460588	0.806995900437985	0.806995900437985	og24102/og24103/og24104/og24223/og25549	5	5/12
IPR020617	Thiolase, C-terminal	5/5009	12/35927	0.0177483634460588	0.806995900437985	0.806995900437985	og24102/og24103/og24104/og24223/og25549	5	5/12
IPR028871	Blue (type 1) copper protein, binding site	5/5009	12/35927	0.0177483634460588	0.806995900437985	0.806995900437985	og23097/og23098/og23234/og23357/og28751	5	5/12
IPR000438	Acetyl-CoA carboxylase carboxyl transferase, beta subunit	3/5009	5/35927	0.0217409593856527	0.869320008063236	0.869320008063236	og25392/og32925/og33290	3	3/5
IPR007714	CFA20 domain	3/5009	5/35927	0.0217409593856527	0.869320008063236	0.869320008063236	og26650/og27248/og32434	3	3/5
IPR040441	Cilia- and flagella-associated protein 20/CFAP20DC	3/5009	5/35927	0.0217409593856527	0.869320008063236	0.869320008063236	og26650/og27248/og32434	3	3/5
IPR014710	RmlC-like jelly roll fold	26/5009	125/35927	0.022542503087505	0.869320008063236	0.869320008063236	og23772/og24073/og24216/og24668/og24683/og24720/og24736/og25139/og25923/og28540/og28678/og28854/og29495/og29520/og29521/og29523/og29524/og30568/og30613/og30748/og30813/og32662/og32663/og32931/og33590/og34995	26	26/125
IPR041392	Beta-galactosidase, beta-sandwich domain	13/5009	52/35927	0.0237088274883274	0.869320008063236	0.869320008063236	og23198/og24271/og25173/og25236/og26659/og28258/og28738/og29153/og29769/og30882/og31102/og32396/og32975	13	13/52
IPR000685	Ribulose bisphosphate carboxylase, large subunit, C-terminal	5/5009	13/35927	0.025587377895162	0.869320008063236	0.869320008063236	og27327/og30865/og31051/og33177/og33187	5	5/13
IPR024094	Cytochrome f large domain	5/5009	13/35927	0.025587377895162	0.869320008063236	0.869320008063236	og24426/og26343/og27580/og28528/og30868	5	5/13
IPR026669	Arsenite methyltransferase-like	5/5009	13/35927	0.025587377895162	0.869320008063236	0.869320008063236	og28642/og30843/og31149/og31296/og33399	5	5/13
IPR029014	[NiFe]-hydrogenase, large subunit	7/5009	22/35927	0.0256682014850489	0.869320008063236	0.869320008063236	og24999/og26135/og27199/og29509/og32509/og32514/og32927	7	7/22
IPR019651	Glutamate dehydrogenase, NAD-specific	4/5009	9/35927	0.0265174828462836	0.869320008063236	0.869320008063236	og28549/og30313/og30314/og30877	4	4/9
IPR034733	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	4/5009	9/35927	0.0265174828462836	0.869320008063236	0.869320008063236	og29227/og30868/og32925/og33290	4	4/9
IPR000932	Photosystem antenna protein-like	8/5009	27/35927	0.0268861858163888	0.869320008063236	0.869320008063236	og24428/og28409/og28551/og29505/og30862/og31078/og33048/og33145	8	8/27
IPR036001	Photosystem antenna protein-like superfamily	8/5009	27/35927	0.0268861858163888	0.869320008063236	0.869320008063236	og24428/og28409/og28551/og29505/og30862/og31078/og33048/og33145	8	8/27
IPR023798	Small ribosomal subunit protein uS7 domain	6/5009	18/35927	0.0303942065848558	0.961381969151417	0.961381969151416	og26722/og28546/og29500/og30391/og33286/og33289	6	6/18
IPR036376	Ribulose bisphosphate carboxylase, large subunit, C-terminal domain superfamily	5/5009	14/35927	0.0353327299896197	0.999999999999999	0.999999999999999	og27327/og30865/og31051/og33177/og33187	5	5/14
IPR001457	NADH:ubiquinone/plastoquinone oxidoreductase, chain 6	3/5009	6/35927	0.0390089017267351	0.999999999999999	0.999999999999999	og29247/og32469/og32929	3	3/6
IPR004282	Chloroplast envelope membrane protein, CemA	3/5009	6/35927	0.0390089017267351	0.999999999999999	0.999999999999999	og26343/og30868/og33542	3	3/6
IPR018264	Large ribosomal subunit protein bL33, conserved site	3/5009	6/35927	0.0390089017267351	0.999999999999999	0.999999999999999	og26620/og29493/og30839	3	3/6
IPR038975	Thionin-like protein	3/5009	6/35927	0.0390089017267351	0.999999999999999	0.999999999999999	og26485/og26876/og26877	3	3/6
IPR005819	Linker histone H1/H5	6/5009	19/35927	0.0393232774386619	0.999999999999999	0.999999999999999	og25642/og28232/og28251/og32420/og32779/og35072	6	6/19
IPR036823	Small ribosomal subunit protein uS7 domain superfamily	6/5009	19/35927	0.0393232774386619	0.999999999999999	0.999999999999999	og26722/og28546/og29500/og30391/og33286/og33289	6	6/19
IPR033966	RuBisCO	4/5009	10/35927	0.0394045828523567	0.999999999999999	0.999999999999999	og30865/og31051/og33177/og33187	4	4/10
IPR036826	Cytochrome f large domain superfamily	5/5009	15/35927	0.0470751832250115	0.999999999999999	0.999999999999999	og24426/og26343/og27580/og28528/og30868	5	5/15
IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	13/5009	57/35927	0.0473040011934802	0.999999999999999	0.999999999999999	og22723/og23200/og23773/og27899/og28030/og28466/og29437/og29538/og29845/og31213/og32274/og32577/og33325	13	13/57
IPR000905	Gcp-like domain	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og27787/og31071	2	2/3
IPR001569	Large ribosomal subunit protein eL37	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og29605/og33548	2	2/3
IPR004868	DNA-directed DNA polymerase, family B, mitochondria/virus	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og27409/og29738	2	2/3
IPR004870	Nucleoporin, Nup155-like	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og27964/og29704	2	2/3
IPR005294	ATP synthase, F1 complex, alpha subunit	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og32917/og33042	2	2/3
IPR017861	Kae1/TsaD family	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og27787/og31071	2	2/3
IPR018267	Large ribosomal subunit protein eL37, conserved site	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og29605/og33548	2	2/3
IPR019351	Protein of unknown function DUF2039	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og28545/og31106	2	2/3
IPR028626	Ribosomal protein eS28 conserved site	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og25186/og26447	2	2/3
IPR037321	KIN17-like protein	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og29096/og31345	2	2/3
IPR041995	Kin17, KOW domain	2/5009	3/35927	0.0528876647103163	0.999999999999999	0.999999999999999	og29096/og31345	2	2/3
IPR008979	Galactose-binding-like domain superfamily	19/5009	93/35927	0.0538772394123707	0.999999999999999	0.999999999999999	og23198/og24271/og25173/og25236/og26433/og26619/og27881/og28258/og28706/og28738/og29153/og29769/og31102/og31247/og32396/og32975/og33044/og33285/og33522	19	19/93
IPR006243	Photosystem I PsaA	4/5009	11/35927	0.0552492897117322	0.999999999999999	0.999999999999999	og24719/og29115/og29498/og32932	4	4/11
IPR007855	RNA-dependent RNA polymerase, eukaryotic-type	4/5009	11/35927	0.0552492897117322	0.999999999999999	0.999999999999999	og29533/og30898/og33458/og33609	4	4/11
IPR036430	Ribonuclease T2-like superfamily	7/5009	26/35927	0.0603030917287703	0.999999999999999	0.999999999999999	og23243/og24711/og26410/og27391/og27864/og27884/og31317	7	7/26
IPR003945	NADH-quinone oxidoreductase, chain 5-like	5/5009	16/35927	0.0608564368171063	0.999999999999999	0.999999999999999	og29489/og29702/og30851/og32924/og34881	5	5/16
IPR001705	Large ribosomal subunit protein bL33	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og26620/og29493/og30839	3	3/7
IPR002136	Large ribosomal subunit protein uL4	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og28388/og31146/og33031	3	3/7
IPR004252	Probable transposase, Ptta/En/Spm, plant	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og24953/og27098/og29436	3	3/7
IPR004332	Transposase, MuDR, plant	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og25948/og31248/og32423	3	3/7
IPR005717	Small ribosomal subunit protein uS7, bacterial/organellar-type	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og28546/og33286/og33289	3	3/7
IPR015701	Ferredoxin--NADP reductase	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og22553/og22947/og24946	3	3/7
IPR023574	Large ribosomal subunit protein uL4 domain superfamily	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og28388/og31146/og33031	3	3/7
IPR038584	Large ribosomal subunit protein bL33 superfamily	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og26620/og29493/og30839	3	3/7
IPR042106	NADH-ubiquinone/plastoquinone oxidoreductase chain 6, subunit NuoJ	3/5009	7/35927	0.0613010889211852	0.999999999999999	0.999999999999999	og29247/og32469/og32929	3	3/7
IPR015712	DNA-directed RNA polymerase, subunit 2	6/5009	21/35927	0.0617215274910203	0.999999999999999	0.999999999999999	og23906/og24221/og24718/og28220/og31045/og33162	6	6/21
IPR036965	Terpene synthase, N-terminal domain superfamily	9/5009	37/35927	0.0636602248853859	0.999999999999999	0.999999999999999	og22723/og26032/og27899/og28030/og28466/og29437/og29538/og32274/og33325	9	9/37
IPR000743	Glycoside hydrolase, family 28	20/5009	102/35927	0.0700266654775246	0.999999999999999	0.999999999999999	og21580/og22539/og23242/og23438/og24230/og25908/og25918/og26492/og27188/og27241/og27370/og27385/og29255/og29319/og29467/og30778/og30841/og31278/og32788/og33269	20	20/102
IPR029045	ClpP/crotonase-like domain superfamily	11/5009	49/35927	0.0712674393732846	0.999999999999999	0.999999999999999	og23230/og25392/og26049/og29227/og30868/og30870/og32445/og32503/og32925/og33269/og33290	11	11/49
IPR015876	Acyl-CoA desaturase	6/5009	22/35927	0.0752415247432596	0.999999999999999	0.999999999999999	og25468/og26313/og26338/og28663/og29603/og33195	6	6/22
IPR002325	Cytochrome f	5/5009	17/35927	0.076670985925397	0.999999999999999	0.999999999999999	og24426/og26343/og27580/og28528/og30868	5	5/17
IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily	8/5009	33/35927	0.0792224564152509	0.999999999999999	0.999999999999999	og23340/og23669/og23836/og25699/og26007/og26601/og29725/og30475	8	8/33
IPR011331	Large ribosomal subunit protein eL37/eL43	3/5009	8/35927	0.0881606920643065	0.999999999999999	0.999999999999999	og23034/og29605/og33548	3	3/8
IPR002156	Ribonuclease H domain	6/5009	23/35927	0.0903000353749943	0.999999999999999	0.999999999999999	og23345/og24283/og24915/og32813/og32907/og33606	6	6/23
IPR021775	Protein of unknown function DUF3339	4/5009	13/35927	0.0955163639331942	0.999999999999999	0.999999999999999	og24437/og26476/og26872/og31303	4	4/13
IPR000101	Gamma-glutamyltranspeptidase	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og27335/og30908	2	2/4
IPR000834	Peptidase M14, carboxypeptidase A	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og29882/og33474	2	2/4
IPR001196	Large ribosomal subunit protein uL15, conserved site	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og23201/og24484	2	2/4
IPR001578	Peptidase C12, ubiquitin carboxyl-terminal hydrolase	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og26493/og30344	2	2/4
IPR001748	Pre-mRNA-splicing factor BUD31	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og28583/og29103	2	2/4
IPR002673	Large ribosomal subunit protein eL29	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og28227/og29183	2	2/4
IPR005707	Small ribosomal subunit protein uS2, eukaryotic/archaeal	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og22968/og29610	2	2/4
IPR006735	Replication termination factor 2	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og28650/og28651	2	2/4
IPR008158	Protein translocase SEC61 complex, gamma subunit	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og30849/og31292	2	2/4
IPR010285	DNA helicase Pif1-like, DEAD-box helicase domain	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og30691/og30859	2	2/4
IPR013005	Large ribosomal subunit protein uL4-like	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og31146/og33031	2	2/4
IPR014748	Enoyl-CoA hydratase, C-terminal	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og23230/og33269	2	2/4
IPR018098	Small ribosomal subunit protein eS24 conserved site	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og28542/og33532	2	2/4
IPR018104	Translation initiation factor 1A (eIF-1A), conserved site	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og26452/og27326	2	2/4
IPR020052	Large ribosomal subunit protein eL31, conserved site	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og23957/og27679	2	2/4
IPR023391	Protein translocase SecE domain superfamily	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og30849/og31292	2	2/4
IPR029703	DNA polymerase epsilon catalytic subunit	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og28216/og28217	2	2/4
IPR033898	DNA-directed RNA polymerases I and III subunit AC19	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og27329/og28293	2	2/4
IPR034643	Mitochondrial ribosomal protein S7, plants	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og28546/og33289	2	2/4
IPR036959	Peptidase C12, ubiquitin carboxyl-terminal hydrolase superfamily	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og26493/og30344	2	2/4
IPR042971	Late embryogenesis abundant protein, SMP subgroup	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og25635/og28465	2	2/4
IPR043137	Gamma-glutamyltranspeptidase, small subunit	2/5009	4/35927	0.0960727778130176	0.999999999999999	0.999999999999999	og27335/og30908	2	2/4
IPR001763	Rhodanese-like domain	6/5009	24/35927	0.106860291508199	0.999999999999999	0.999999999999999	og23076/og23769/og23955/og30663/og32999/og33656	6	6/24
IPR008896	Protein TIC214	5/5009	19/35927	0.114164914985777	0.999999999999999	0.999999999999999	og23581/og24433/og28539/og30794/og31145	5	5/19
IPR008630	Glycosyltransferase 34	3/5009	9/35927	0.118982296673318	0.999999999999999	0.999999999999999	og27918/og29566/og30950	3	3/9
IPR020058	Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain	3/5009	9/35927	0.118982296673318	0.999999999999999	0.999999999999999	og24457/og28581/og28582	3	3/9
IPR022309	Ribosomal protein eS8/ribosomal biogenesis NSA2	3/5009	9/35927	0.118982296673318	0.999999999999999	0.999999999999999	og23038/og23058/og27326	3	3/9
IPR036150	Cytochrome b/b6, C-terminal domain superfamily	3/5009	9/35927	0.118982296673318	0.999999999999999	0.999999999999999	og24440/og26712/og32973	3	3/9
IPR002227	Tyrosinase copper-binding domain	4/5009	14/35927	0.119589817510624	0.999999999999999	0.999999999999999	og23069/og24471/og30269/og31057	4	4/14
IPR008922	Di-copper centre-containing domain superfamily	4/5009	14/35927	0.119589817510624	0.999999999999999	0.999999999999999	og23069/og24471/og29557/og31057	4	4/14
IPR022740	Polyphenol oxidase, C-terminal	4/5009	14/35927	0.119589817510624	0.999999999999999	0.999999999999999	og24471/og27909/og29557/og29558	4	4/14
IPR001568	Ribonuclease T2-like	6/5009	25/35927	0.12486360445285	0.999999999999999	0.999999999999999	og23243/og24711/og26410/og27391/og27884/og31317	6	6/25
IPR005630	Terpene synthase, metal-binding domain	8/5009	37/35927	0.134481019037305	0.999999999999999	0.999999999999999	og22723/og27899/og28030/og28466/og29538/og31256/og32274/og32941	8	8/37
IPR008998	Agglutinin domain	5/5009	20/35927	0.135635580452674	0.999999999999999	0.999999999999999	og23350/og25477/og26605/og27180/og29663	5	5/20
IPR000054	Large ribosomal subunit protein eL31	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og23957/og27679	2	2/5
IPR000289	Small ribosomal subunit protein eS28	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og25186/og26447	2	2/5
IPR000552	Large ribosomal subunit protein eL42	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og27877/og33206	2	2/5
IPR000941	Enolase	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29778/og33284	2	2/5
IPR001253	Translation initiation factor 1A (eIF-1A)	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og26452/og27326	2	2/5
IPR001732	UDP-glucose/GDP-mannose dehydrogenase, N-terminal	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og24090/og24940	2	2/5
IPR001901	Protein translocase complex, SecE/Sec61-gamma subunit	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og30849/og31292	2	2/5
IPR005595	Translocon-associated protein (TRAP), alpha subunit	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og30857/og31151	2	2/5
IPR007011	Late embryogenesis abundant protein, SMP subgroup domain	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og25635/og28465	2	2/5
IPR008193	DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og27329/og28293	2	2/5
IPR014026	UDP-glucose/GDP-mannose dehydrogenase, dimerisation	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og24090/og24940	2	2/5
IPR014027	UDP-glucose/GDP-mannose dehydrogenase, C-terminal	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og24090/og24940	2	2/5
IPR017476	UDP-glucose/GDP-mannose dehydrogenase	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og24090/og24940	2	2/5
IPR019447	DNA/RNA-binding protein Kin17, WH-like domain	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29096/og31345	2	2/5
IPR019473	Transcription factor TFIID, subunit 8, C-terminal	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og25184/og29637	2	2/5
IPR020809	Enolase, conserved site	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29778/og33284	2	2/5
IPR020810	Enolase, C-terminal TIM barrel domain	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29778/og33284	2	2/5
IPR020811	Enolase, N-terminal	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29778/og33284	2	2/5
IPR023621	Large ribosomal subunit protein eL31 domain superfamily	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og23957/og27679	2	2/5
IPR028356	UDP-glucose 6-dehydrogenase, eukaryotic type	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og24090/og24940	2	2/5
IPR030878	Large ribosomal subunit protein uL15	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og23201/og24484	2	2/5
IPR033347	Protein DEHYDRATION-INDUCED 19	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29621/og29678	2	2/5
IPR036220	UDP-glucose/GDP-mannose dehydrogenase, C-terminal domain superfamily	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og24090/og24940	2	2/5
IPR038254	DNA/RNA-binding protein KIN17, WH-like domain superfamily	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29096/og31345	2	2/5
IPR041330	KN17, SH3-like domain	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29096/og31345	2	2/5
IPR044560	Monooxygenase-like	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og26045/og32677	2	2/5
IPR044954	Small ribosomal subunit protein uS3m, plant	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og29486/og31079	2	2/5
IPR045529	Domain of unknown function DUF6469	2/5009	5/35927	0.145627323431261	0.999999999999999	0.999999999999999	og25801/og29283	2	2/5
IPR022801	Small ribosomal subunit protein uS4	4/5009	15/35927	0.145958775432665	0.999999999999999	0.999999999999999	og24072/og25968/og29511/og33301	4	4/15
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain	7/5009	32/35927	0.148717533460857	0.999999999999999	0.999999999999999	og23669/og23836/og25699/og26007/og26601/og29725/og30475	7	7/32
IPR043159	D-galactoside/L-rhamnose binding SUEL lectin domain superfamily	8/5009	38/35927	0.150735006298815	0.999999999999999	0.999999999999999	og24271/og25173/og25236/og28258/og29769/og31102/og32396/og33285	8	8/38
IPR000793	ATP synthase, alpha subunit, C-terminal	3/5009	10/35927	0.153087031168016	0.999999999999999	0.999999999999999	og26680/og33042/og33290	3	3/10
IPR001951	Histone H4	3/5009	10/35927	0.153087031168016	0.999999999999999	0.999999999999999	og24469/og29123/og33577	3	3/10
IPR005199	Glycoside hydrolase, family 79	3/5009	10/35927	0.153087031168016	0.999999999999999	0.999999999999999	og32874/og32962/og33179	3	3/10
IPR011008	Dimeric alpha-beta barrel	3/5009	10/35927	0.153087031168016	0.999999999999999	0.999999999999999	og26453/og27895/og27897	3	3/10
IPR013097	Stress responsive alpha-beta barrel	3/5009	10/35927	0.153087031168016	0.999999999999999	0.999999999999999	og26453/og27895/og27897	3	3/10
IPR019809	Histone H4, conserved site	3/5009	10/35927	0.153087031168016	0.999999999999999	0.999999999999999	og24469/og29123/og33577	3	3/10
