Map_ID	Map_description	KO_Num_InMap	KO	Cma_Gene	Cmo_Gene	Cla_Gene	Csa_Gene	Cme_Gene
01100	Metabolic pathways	832	K00231	Cma_014618, Cma_015385, Cma_015388, Cma_013510	Cmo_001760, Cmo_006866, Cmo_006881, Cmo_007667	Cla006520, Cla005862	Csa5M128250.2, Csa6M007980.2	MELO3C005189P1, MELO3C008208P3
01100	Metabolic pathways	832	K00232	Cma_007915, Cma_030587, Cma_030874, Cma_009623, Cma_016745	Cmo_020039, Cmo_029577, Cmo_024877, Cmo_013040, Cmo_004904	Cla018002, Cla000633, Cla002393, Cla003665	Csa2M415540.1, Csa3M731060.2, Csa4M028450.1, Csa5M165210.1	MELO3C005515P2, MELO3C009153P1, MELO3C017590P1, MELO3C019320P1
01100	Metabolic pathways	832	K00234	Cma_000781, Cma_009588	Cmo_009698	Cla014517, Cla001940	Csa4M038700.1	MELO3C017560P1
01100	Metabolic pathways	832	K00235	Cma_008544, Cma_012384, Cma_000802	Cmo_028862, Cmo_009721, Cmo_004252	Cla014485, Cla000840	Csa3M595230.1, Csa4M028980.1	MELO3C014824P1, MELO3C017585P1, MELO3C017586P1
01100	Metabolic pathways	832	K00249	Cma_028703, Cma_006198	Cmo_017990, Cmo_000089	Cla021760	Csa3M164520.1	MELO3C006684P1
01100	Metabolic pathways	832	K00253	Cma_016067	Cmo_019320	Cla000556	Csa6M291910.1	MELO3C025757P2
01100	Metabolic pathways	832	K00254	Cma_029321	Cmo_031133	Cla009084	Csa1M571860.1, Csa5M352610.1, Csa5M352620.1	MELO3C005067P1, MELO3C015352P1
01100	Metabolic pathways	832	K00261	Cma_000372, Cma_025498, Cma_005632	Cmo_019451, Cmo_029275, Cmo_014973, Cmo_026720, Cmo_009251	Cla012131, Cla010695, Cla003596	Csa4M025140.1, Csa4M192110.1, Csa5M168800.1	MELO3C005444P1, MELO3C008802P1, MELO3C017628P2
01100	Metabolic pathways	832	K00262	Cma_017867, Cma_005866	Cmo_018328, Cmo_013314	Cla012627	Csa3M849950.1	MELO3C013031P1
01100	Metabolic pathways	832	K00264	Cma_026891, Cma_008993	Cmo_025069, Cmo_025070, Cmo_011735	Cla004245	Csa3M603580.1	MELO3C008481P1
01100	Metabolic pathways	832	K00275	Cma_007433	Cmo_008253	Cla023041	Csa3M889990.1	MELO3C003541P1
01100	Metabolic pathways	832	K00276	Cma_011775, Cma_023611, Cma_023612, Cma_023613, Cma_016687, Cma_003123	Cmo_019984, Cmo_024333, Cmo_030238, Cmo_002715, Cmo_020344, Cmo_020345, Cmo_020346	Cla011541, Cla011542, Cla019224, Cla009405, Cla009406, Cla009407	Csa1M004100.1, Csa5M158570.1, Csa5M158580.1, Csa6M423470.1, Csa6M423480.1, Csa6M423980.1, Csa7M235250.1	MELO3C005577P1, MELO3C005578P1, MELO3C014478P1, MELO3C014479P1, MELO3C014480P1, MELO3C026264P1
01100	Metabolic pathways	832	K00278	Cma_015136, Cma_012978	Cmo_002321, Cmo_007125	Cla010403	Csa5M524850.1	MELO3C021545P1
01100	Metabolic pathways	832	K00281	Cma_021264, Cma_017697	Cmo_022005, Cmo_015618	Cla022677	Csa2M351700.1	MELO3C010754P1
01100	Metabolic pathways	832	K00286	Cma_026371, Cma_025307	Cmo_031859, Cmo_026903	Cla004999	Csa4M354630.1	MELO3C019039P1
01100	Metabolic pathways	832	K00294	Cma_020401	Cmo_025955	Cla008345	Csa1M045490.1	MELO3C002203P1
01100	Metabolic pathways	832	K00297	Cma_000964, Cma_027667	Cmo_029199, Cmo_009899	Cla010611	Csa2M149470.1	MELO3C020408P1, MELO3C027379P1
01100	Metabolic pathways	832	K00306	Cma_003834	Cmo_005580	Cla009971	Csa3M881890.1	MELO3C003620P1
01100	Metabolic pathways	832	K00318	Cma_015273, Cma_012855	Cmo_002443	Cla016474	Csa5M643300.1	MELO3C022076P1
01100	Metabolic pathways	832	K00365	Cma_001443, Cma_026539	Cmo_018847, Cmo_011354	Cla020477	Csa5M613510.1	MELO3C012335P1
01100	Metabolic pathways	832	K00382	Cma_023734, Cma_019193, Cma_006163, Cma_032053	Cmo_018029, Cmo_030098, Cmo_020219, Cmo_000038	Cla021813, Cla009256	Csa3M168970.1, Csa6M000100.1, Csa6M308420.1	MELO3C006734P1, MELO3C021247P1, MELO3C021276P1
01100	Metabolic pathways	832	K00392	Cma_010952, Cma_002345	Cmo_003504, Cmo_021633	Cla006309	Csa1M614130.1	MELO3C015186P1
01100	Metabolic pathways	832	K00411	Cma_014661, Cma_014662, Cma_013467	Cmo_001803, Cmo_007616, Cmo_007617	Cla005925, Cla005926	Csa5M464790.1, Csa5M464800.1	MELO3C005102P2, MELO3C005103P1
01100	Metabolic pathways	832	K00412	Cma_029937, Cma_028627, Cma_031675, Cma_019180	Cmo_006716, Cmo_032073, Cmo_032074			
01100	Metabolic pathways	832	K00413	Cma_009672	Cmo_029523, Cmo_009779	Cla000734	Csa3M115030.1	MELO3C014960P1
01100	Metabolic pathways	832	K00416	Cma_000507, Cma_009301	Cmo_025397, Cmo_009404		Csa3M212480.1	MELO3C019495P1
01100	Metabolic pathways	832	K00417	Cma_007293, Cma_003894	Cmo_008384, Cmo_005624	Cla020955	Csa3M878840.1	MELO3C003682P1
01100	Metabolic pathways	832	K00419	Cma_023213	Cmo_022718, Cmo_027459, Cmo_001135, Cmo_004653	Cla018398, Cla018400, Cla017692	Csa3M776920.1, Csa6M452660.1	MELO3C009472P1, MELO3C024548P1
01100	Metabolic pathways	832	K00422	Cma_015712, Cma_020125, Cma_020127	Cmo_017613, Cmo_028369, Cmo_028370	Cla019478, Cla019479, Cla019480, Cla019481, Cla019482, Cla019483, Cla019485, Cla019486	Csa1M073090.1, Csa1M073110.1, Csa1M073640.1	MELO3C000806P1, MELO3C002576P1, MELO3C002579P1, MELO3C002580P1
01100	Metabolic pathways	832	K00423	Cma_010908, Cma_029207, Cma_020626, Cma_010828, Cma_010829, Cma_016341, Cma_016343, Cma_002379	Cmo_019629, Cmo_019631, Cmo_019632, Cmo_026204, Cmo_010999, Cmo_011000, Cmo_003462, Cmo_021685, Cmo_000659	Cla018671, Cla004750, Cla004752, Cla004755, Cla011064, Cla003115, Cla003116, Cla003117	Csa1M031720.1, Csa1M602530.1, Csa1M602540.1, Csa1M604040.1, Csa4M267470.1, Csa4M267480.1	MELO3C000533P1, MELO3C001915P1, MELO3C014735P2, MELO3C014737P1, MELO3C015640P1, MELO3C015642P1, MELO3C015643P1
01100	Metabolic pathways	832	K00430	Cma_011326, Cma_011727, Cma_018510, Cma_018511, Cma_027091, Cma_008486, Cma_021757, Cma_022009, Cma_015398, Cma_015317, Cma_014048, Cma_014049, Cma_021020, Cma_023316, Cma_026259, Cma_026260, Cma_026261, Cma_026274, Cma_012713, Cma_012963, Cma_026492, Cma_012017, Cma_012018, Cma_012082, Cma_000815, Cma_000767, Cma_001561, Cma_030498, Cma_015672, Cma_015780, Cma_015919, Cma_019203, Cma_019294, Cma_030730, Cma_027732, Cma_020374, Cma_020208, Cma_007368, Cma_007479, Cma_025577, Cma_004629, Cma_004886, Cma_004942, Cma_005159, Cma_005215, Cma_026794, Cma_010199, Cma_010516, Cma_010517, Cma_010514, Cma_010779, Cma_010780, Cma_010781, Cma_010782, Cma_010783, Cma_003974, Cma_025946, Cma_009567, Cma_016401, Cma_016402, Cma_016403, Cma_016404, Cma_016405, Cma_022320, Cma_022321, Cma_022624, Cma_002035, Cma_002131, Cma_002078, Cma_002079, Cma_003006, Cma_003009, Cma_003080, Cma_029534, Cma_024070, Cma_024102, Cma_024320, Cma_024338	Cmo_022929, Cmo_019689, Cmo_019690, Cmo_019691, Cmo_019692, Cmo_019693, Cmo_019694, Cmo_002336, Cmo_002576, Cmo_008202, Cmo_008318, Cmo_029631, Cmo_029632, Cmo_032011, Cmo_018965, Cmo_020764, Cmo_021055, Cmo_021056, Cmo_015755, Cmo_016430, Cmo_031279, Cmo_006949, Cmo_006856, Cmo_024389, Cmo_013983, Cmo_013985, Cmo_016880, Cmo_016881, Cmo_016882, Cmo_028648, Cmo_005708, Cmo_027357, Cmo_017394, Cmo_017521, Cmo_017655, Cmo_012530, Cmo_012562, Cmo_012773, Cmo_012794, Cmo_013079, Cmo_032174, Cmo_032175, Cmo_032176, Cmo_032177, Cmo_025924, Cmo_025760, Cmo_029280, Cmo_029281, Cmo_010389, Cmo_010658, Cmo_010659, Cmo_010685, Cmo_010946, Cmo_010947, Cmo_010948, Cmo_010949, Cmo_010951, Cmo_010952, Cmo_010656, Cmo_032148, Cmo_030107, Cmo_030190, Cmo_031063, Cmo_031064, Cmo_002760, Cmo_002761, Cmo_002838, Cmo_003844, Cmo_003725, Cmo_014227, Cmo_014264, Cmo_014485, Cmo_014541, Cmo_027989, Cmo_009680, Cmo_009734, Cmo_029931, Cmo_029930, Cmo_011069, Cmo_011176, Cmo_011488, Cmo_011631, Cmo_021254, Cmo_023212, Cmo_023230, Cmo_023231, Cmo_023232, Cmo_015385, Cmo_001245, Cmo_030406, Cmo_030472, Cmo_004316, Cmo_004762	Cla019382, Cla019688, Cla014565, Cla012240, Cla012242, Cla010497, Cla016910, Cla016911, Cla016937, Cla016150, Cla008306, Cla010673, Cla006355, Cla006356, Cla013404, Cla013405, Cla013407, Cla013408, Cla013409, Cla013410, Cla013439, Cla020336, Cla020908, Cla021048, Cla010262, Cla010379, Cla020252, Cla007683, Cla007684, Cla007685, Cla014013, Cla014249, Cla014313, Cla003380, Cla003382, Cla003383, Cla018276, Cla006622, Cla002651, Cla000535, Cla010055, Cla017829, Cla015178, Cla015179, Cla015180, Cla015181, Cla015182, Cla015183, Cla015184, Cla019164, Cla005497, Cla017056, Cla002251, Cla001847, Cla001849, Cla022405, Cla006220, Cla007024, Cla001084, Cla001825, Cla009234, Cla009343, Cla009344, Cla008114, Cla003187, Cla003188, Cla003189, Cla003190, Cla003191, Cla003192, Cla003193, Cla003194, Cla003195, Cla003196, Cla003609, Cla003610	Csa1M005720.1, Csa1M045880.1, Csa1M051840.1, Csa1M062960.1, Csa1M077120.1, Csa1M166260.1, Csa1M334910.1, Csa1M338920.1, Csa1M533650.1, Csa1M586250.1, Csa2M235100.1, Csa2M235600.1, Csa2M271470.1, Csa2M346020.1, Csa2M406630.1, Csa2M406640.1, Csa2M406650.1, Csa2M421020.1, Csa3M179180.1, Csa3M736970.1, Csa3M829170.1, Csa3M881810.1, Csa3M904120.1, Csa4M026850.1, Csa4M045010.1, Csa4M285730.1, Csa4M285740.1, Csa4M285750.1, Csa4M285760.1, Csa4M285770.1, Csa4M285780.1, Csa4M285790.1, Csa4M285800.1, Csa4M285810.1, Csa4M286310.1, Csa4M443110.1, Csa4M626600.1, Csa4M651760.1, Csa5M167220.1, Csa5M262770.1, Csa5M608020.1, Csa5M631510.1, Csa6M013940.1, Csa6M067410.1, Csa6M083540.1, Csa6M134900.1, Csa6M213910.1, Csa6M216410.1, Csa6M216420.1, Csa6M216930.1, Csa6M216940.1, Csa6M326930.1, Csa6M445010.1, Csa6M490230.1, Csa6M495000.1, Csa6M504560.1, Csa6M507230.1, Csa7M044780.1, Csa7M049140.1, Csa7M058560.1, Csa7M061710.1, Csa7M061720.1, Csa7M238950.1, Csa7M414510.1, Csa7M414520.1, Csa7M414530.1, Csa7M419530.1, Csa7M419540.1, Csa7M419550.1, Csa7M419560.1, Csa7M419570.1	MELO3C000772P1, MELO3C002242P1, MELO3C002391P1, MELO3C002457P1, MELO3C002632P1, MELO3C003275P1, MELO3C003377P1, MELO3C003628P1, MELO3C004687P1, MELO3C005456P1, MELO3C006862P1, MELO3C007545P1, MELO3C007618P1, MELO3C007868P1, MELO3C007935P1, MELO3C008185P1, MELO3C008186P1, MELO3C008187P1, MELO3C008188P1, MELO3C009329P1, MELO3C009924P1, MELO3C010344P1, MELO3C010348P1, MELO3C011348P1, MELO3C012183P1, MELO3C012610P1, MELO3C014252P1, MELO3C014650P1, MELO3C014651P1, MELO3C014652P1, MELO3C014653P2, MELO3C014654P1, MELO3C014655P1, MELO3C014656P1, MELO3C014657P1, MELO3C014658P3, MELO3C015445P1, MELO3C016405P1, MELO3C016943P1, MELO3C017120P1, MELO3C017603P2, MELO3C018655P1, MELO3C018656P1, MELO3C018672P1, MELO3C018719P1, MELO3C018804P1, MELO3C019239P1, MELO3C019612P1, MELO3C019994P1, MELO3C020501P1, MELO3C020841P1, MELO3C021259P1, MELO3C021297P1, MELO3C021373P1, MELO3C021513P1, MELO3C021914P1, MELO3C022435P1, MELO3C022604P1, MELO3C023612P1, MELO3C023613P1, MELO3C023615P1, MELO3C023617P1, MELO3C025681P1, MELO3C025683P1, MELO3C025684P1, MELO3C026869P1, MELO3C026870P1
01100	Metabolic pathways	832	K00451	Cma_000562	Cmo_009458	Cla002425	Csa4M088750.1	MELO3C016089P1
01100	Metabolic pathways	832	K00454	Cma_014368, Cma_001819, Cma_019689, Cma_010768, Cma_010770, Cma_016412, Cma_016413, Cma_022530	Cmo_019701, Cmo_019703, Cmo_019705, Cmo_019707, Cmo_019248, Cmo_020850, Cmo_023801, Cmo_017199, Cmo_010934, Cmo_010935, Cmo_010937	Cla022987, Cla014845, Cla005400, Cla015542, Cla008516, Cla008517, Cla008518, Cla008519, Cla008520, Cla003209, Cla003210, Cla003211	Csa4M286940.1, Csa4M286960.1, Csa4M287020.1, Csa4M287530.1, Csa4M287550.1, Csa4M288070.1, Csa4M288080.1, Csa4M288110.1, Csa4M288610.1, Csa5M590080.1, Csa5M590090.1, Csa7M374620.1, Csa7M374630.1, Csa7M449420.1	MELO3C000684P1, MELO3C000770P1, MELO3C011885P1, MELO3C014627P1, MELO3C014628P1, MELO3C014629P2, MELO3C014630P1, MELO3C014631P1, MELO3C014632P2, MELO3C014633P1, MELO3C014634P1, MELO3C014635P1, MELO3C014636P1, MELO3C014637P1, MELO3C014638P1, MELO3C015715P1, MELO3C024348P1
01100	Metabolic pathways	832	K00457	Cma_007119, Cma_003637	Cmo_008559, Cmo_005379	Cla023238	Csa4M608160.1	MELO3C022961P1
01100	Metabolic pathways	832	K00472	Cma_021750, Cma_022015, Cma_015181, Cma_012943, Cma_023663, Cma_019300, Cma_028777, Cma_005223, Cma_006095, Cma_006243, Cma_025091, Cma_025092, Cma_031919, Cma_002147	Cmo_022924, Cmo_002356, Cmo_017937, Cmo_018097, Cmo_007085, Cmo_031656, Cmo_030197, Cmo_003712, Cmo_014260, Cmo_014549, Cmo_027984, Cmo_020292, Cmo_006302, Cmo_006303, Cmo_000157	Cla021690, Cla010744, Cla013627, Cla010355, Cla014007, Cla014322, Cla009353, Cla000045	Csa2M009610.1, Csa2M009620.1, Csa3M150820.1, Csa3M828960.1, Csa4M017130.1, Csa5M166460.2, Csa5M633280.1, Csa6M067350.1, Csa6M494930.1, Csa6M507320.1	MELO3C004414P1, MELO3C004415P1, MELO3C005478P1, MELO3C006592P1, MELO3C007611P1, MELO3C007943P1, MELO3C009905P1, MELO3C017675P1, MELO3C021380P1, MELO3C021480P1
01100	Metabolic pathways	832	K00475	Cma_023106, Cma_024791	Cmo_025528	Cla008896, Cla006682	Csa3M002800.1, Csa6M108510.1	
01100	Metabolic pathways	832	K00487	Cma_018525, Cma_010525, Cma_024878, Cma_024099, Cma_017060	Cmo_014001, Cmo_012546, Cmo_010670, Cmo_029715, Cmo_006538	Cla005785, Cla005786, Cla005787, Cla013420, Cla008096	Csa2M068700.1, Csa2M069200.1, Csa2M069700.1, Csa2M070200.1, Csa2M070210.1, Csa6M133710.1, CsaUNM000040.1	MELO3C003932P1, MELO3C003933P1, MELO3C003934P1, MELO3C019585P1, MELO3C020483P1
01100	Metabolic pathways	832	K00511	Cma_021241, Cma_007561, Cma_031495, Cma_004049, Cma_004050, Cma_017670	Cmo_008112, Cmo_016357, Cmo_005787, Cmo_022025, Cmo_015593	Cla006490, Cla020903, Cla001251, Cla022651	Csa2M353480.1, Csa4M645290.1, Csa7M069710.1	MELO3C010781P1, MELO3C016845P1, MELO3C018550P1
01100	Metabolic pathways	832	K00512	Cma_027938	Cmo_024820	Cla011543	Csa5M158600.1	MELO3C005574P1, MELO3C005575P1, MELO3C005576P1
01100	Metabolic pathways	832	K00514	Cma_002189	Cmo_003669	Cla003751	Csa1M695370.1	MELO3C024674P1, MELO3C024675P2
